series,type,status,file,url,pages,bytes,sha256
"整體式銑刀","新產品單行本","V3.3已解析","W260602EC_S910_Modular_Solid_Carbide_Endmills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W260602EC_S910_Modular_Solid_Carbide_Endmills.pdf","23","2719972","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W260601EC_H65X_EHBUC_High_Precision_Ball_Nose_Endmills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W260601EC_H65X_EHBUC_High_Precision_Ball_Nose_Endmills.pdf","3","865101","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W260504EC_M50X_Drimill.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W260504EC_M50X_Drimill.pdf","5","1067175","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W260502EC_G55CX_H60X_5F.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W260502EC_G55CX_H60X_HighPerformanceSolidCarbideEndmills.pdf","6","1152931","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W260403EC_A100_Drimill.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W260403EC_A100_Drilmill.pdf","5","1115111","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W260301EC_EPSSC_EPBSC_Micro_Endmills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W260301EC_EPSSC_EPBSC_Carbide_Micro_Endmills.pdf","3","515586","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W260104EC_G55C_EPSDC_Short_Shank.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W260104EC_G55C_EPSDC_Short_Shank.pdf","2","353256","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W260102EC_V47X.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W260102EC_V47X.pdf","39","2966616","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W251204EC_V52X_Superalloy.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W251204EC_V52X_Solid_Carbide_Endmills_for_Superalloy.pdf","23","2023205","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W250803EC_S970_S910_High_Feed_Endmills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W250803EC_S970_S910_High_Feed_Endmills.pdf","9","1137334","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W250601EC_S930_Barrel_Endmills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W250601EC_Barrel_Endmills.pdf","13","1200469","V3.3未保存"
"整體式銑刀","新產品單行本","V3.3已解析","W250504EC_H60X_SolidCarbideEndmills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W250504EC_H60X_SolidCarbideEndmills.pdf","18","2304243","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_V53X.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_V53X.pdf","21","1485076","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_S960.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_S960.pdf","9","810383","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_S950.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_S950.pdf","4","499283","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_M50X.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_M50X.pdf","10","696956","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_H800_CBN.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_H800.pdf","3","432822","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_H70X.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_H70X.pdf","7","704962","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_H68X.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_H68X.pdf","11","776572","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_H65X.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_H65X.pdf","40","1746921","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_G550_G55X.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_G550.pdf","76","2686036","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_A830_PCD.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_A830.pdf","1","143161","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_A300.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_A300.pdf","5","634043","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_A200.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_A200.pdf","7","669239","V3.3未保存"
"整體式銑刀","系列單行本","V3.3已解析","Winstar_A100.pdf","https://www.winstarcutting.com.tw/catalogue/solidendmilling/Winstar_A100.pdf","25","1375385","V3.3未保存"
"整體式銑刀","總型錄","V3.3已解析","Winstar_2025_B-Solid_End_Milling.pdf","https://www.winstarcutting.com.tw/catalogue/Winstar_2025_B-Solid%20End%20milling.pdf","272","11605273","V3.3未保存"
"螺紋","官方單行本","已下載並解析","W250502EC_Thread_Turning_Tools.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W250502EC_Thread_Turning_Tools.pdf","28","1364472","2fffe8f28315e21d1c7e9eb73312d163f0272170cab012a523a265c9f7fae57f"
"螺紋","官方單行本","已下載並解析","W250901EC_Carbide_Broach.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W250901EC_Carbide_Broach.pdf","4","597674","131a67ea099d075463f8f1e18834983929bbcca1718da425dcd2497471c28f40"
"螺紋","官方單行本","已下載並解析","W250902EC_CSMT_Indexable_Thread_Mills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W250902EC_CSMT_Indexable_Thread_Mills.pdf","4","1555095","85393c203a7d6ec9b8d39fd505184c6da8db7ec7649ae2b8990e7dc5041fc026"
"螺紋","官方單行本","已下載並解析","W251001EC_CXMT_Thread_Milling.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W251001EC_CXMT_Thread_Milling.pdf","7","1038125","7342ed90d5ff225f03aee4645ab2992b12633f8c4a1637074c81e7c6b30844e0"
"螺紋","官方單行本","已下載並解析","W251205EC_ET_Thread_Mills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W251205EC_ET_Thread_Mills.pdf","20","2299686","89199d30b0542b067f211fc10b0d86a3eda6747f3b93de900885ab601ab77b8b"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DA.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DA.pdf","3","538661","38d9922f90d6d6330aebd8b23386b494c1b8cf8a8dc131f02ca8bc5593cb48e0"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DC.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DC.pdf","1","487838","41dfebd865ae3540a825982c2224adc01dac56e39d52515393f73b1165791052"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DF.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DF.pdf","2","447435","257cc8377f42ac3c769094fa64219af31b257bd2863cfad3da1b4f0d8ce8787b"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DG.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DG.pdf","1","439912","6105e8745f5cb58d5bad54471d2044bfafeea457ce5e882b5788f5de2bbbad5a"
